variable,label,value,kind,instrument
primary_diagnosis,10,Other Neurodevelopmental Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,11,Neurocognitive Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,12,Obsessive Compulsive Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,13,Personality Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,14,Schizophrenia Spectrum and Other Psychotic Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,15,Somatic Symptom Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,16,Substance-Related and Addictive Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,17,Trauma- and Stressor-Related Disorder,radio,intake_stabilization_services_intake_form
primary_diagnosis,18,No Diagnosis,radio,intake_stabilization_services_intake_form
other_diagnoses___first,1,Attention-Deficit/Hyperactivity Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,2,Anxiety Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,3,Autism Spectrum Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,4,Bipolar Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,5,Depressive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,6,Disruptive Impulse Control and Conduct Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,7,Dissociative Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,8,Feeding and Eating Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,9,Gender Dysphoria,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,10,Other Neurodevelopmental Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,11,Neurocognitive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,12,Obsessive Compulsive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,13,Personality Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,14,Schizophrenia Spectrum and Other Psychotic Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,15,Somatic Symptom Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,16,Substance-Related and Addictive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,17,Trauma- and Stressor-Related Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___first,18,No Diagnosis,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,1,Attention-Deficit/Hyperactivity Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,2,Anxiety Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,3,Autism Spectrum Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,4,Bipolar Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,5,Depressive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,6,Disruptive Impulse Control and Conduct Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,7,Dissociative Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,8,Feeding and Eating Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,9,Gender Dysphoria,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,10,Other Neurodevelopmental Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,11,Neurocognitive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,12,Obsessive Compulsive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,13,Personality Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,14,Schizophrenia Spectrum and Other Psychotic Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,15,Somatic Symptom Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,16,Substance-Related and Addictive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,17,Trauma- and Stressor-Related Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___second,18,No Diagnosis,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,1,Attention-Deficit/Hyperactivity Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,2,Anxiety Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,3,Autism Spectrum Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,4,Bipolar Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,5,Depressive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,6,Disruptive Impulse Control and Conduct Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,7,Dissociative Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,8,Feeding and Eating Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,9,Gender Dysphoria,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,10,Other Neurodevelopmental Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,11,Neurocognitive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,12,Obsessive Compulsive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,13,Personality Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,14,Schizophrenia Spectrum and Other Psychotic Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,15,Somatic Symptom Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,16,Substance-Related and Addictive Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,17,Trauma- and Stressor-Related Disorder,checkbox,intake_stabilization_services_intake_form
other_diagnoses___third,18,No Diagnosis,checkbox,intake_stabilization_services_intake_form
trauma_hx,1,Yes,radio,intake_stabilization_services_intake_form
trauma_hx,0,No,radio,intake_stabilization_services_intake_form
trauma_hx,99,Unknown,radio,intake_stabilization_services_intake_form
previous_ed,1,Yes,radio,intake_stabilization_services_intake_form
previous_ed,0,No,radio,intake_stabilization_services_intake_form
previous_ed,2,Unknown,radio,intake_stabilization_services_intake_form
previous_inpatient,1,Yes,radio,intake_stabilization_services_intake_form
previous_inpatient,0,No,radio,intake_stabilization_services_intake_form
previous_inpatient,2,Unknown,radio,intake_stabilization_services_intake_form
previous_attempt,1,Yes,radio,intake_stabilization_services_intake_form
previous_attempt,0,No,radio,intake_stabilization_services_intake_form
previous_attempt,2,Unknown,radio,intake_stabilization_services_intake_form
intake_stabilization_services_intake_form_complete,0,Incomplete,radio,intake_stabilization_services_intake_form
intake_stabilization_services_intake_form_complete,1,Unverified,radio,intake_stabilization_services_intake_form
intake_stabilization_services_intake_form_complete,2,Complete,radio,intake_stabilization_services_intake_form
oh_c_measurement,1,Enrollment,radio,intake_ohio_clinician
oh_c_measurement,2,Closure,radio,intake_ohio_clinician
intake_ohio_clinician_complete,0,Incomplete,radio,intake_ohio_clinician
intake_ohio_clinician_complete,1,Unverified,radio,intake_ohio_clinician
intake_ohio_clinician_complete,2,Complete,radio,intake_ohio_clinician
oh_p_respondent,1,Mother,radio,intake_ohio_parent
oh_p_respondent,2,Father,radio,intake_ohio_parent
oh_p_respondent,3,Step-mother,radio,intake_ohio_parent
oh_p_respondent,4,Step-father,radio,intake_ohio_parent
oh_p_respondent,5,Grandparent,radio,intake_ohio_parent
oh_p_respondent,6,Foster parent,radio,intake_ohio_parent
oh_p_respondent,7,Other guardian {oh_p_respondent_other},radio,intake_ohio_parent
oh_p_measurement,1,Enrollment,radio,intake_ohio_parent
oh_p_measurement,2,Closure,radio,intake_ohio_parent
oh_p_5,1,Extremely satisfied,radio,intake_ohio_parent
oh_p_5,2,Moderately satisfied,radio,intake_ohio_parent
oh_p_5,3,Somewhat satisfied,radio,intake_ohio_parent
oh_p_5,4,Somewhat dissatisfied,radio,intake_ohio_parent
oh_p_5,5,Moderately dissatisfied,radio,intake_ohio_parent
oh_p_5,6,Extremely dissatisfied,radio,intake_ohio_parent
oh_p_6,1,A great deal,radio,intake_ohio_parent
oh_p_6,2,Moderately,radio,intake_ohio_parent
oh_p_6,3,Quite a bit,radio,intake_ohio_parent
oh_p_6,4,Somewhat,radio,intake_ohio_parent
oh_p_6,5,A little,radio,intake_ohio_parent
oh_p_6,6,Not at all,radio,intake_ohio_parent
oh_p_7,1,A great deal,radio,intake_ohio_parent
oh_p_7,2,Moderately,radio,intake_ohio_parent
oh_p_7,3,Quite a bit,radio,intake_ohio_parent
oh_p_7,4,Somewhat,radio,intake_ohio_parent
oh_p_7,5,A little,radio,intake_ohio_parent
oh_p_7,6,Not at all,radio,intake_ohio_parent
oh_p_8,1,A great deal,radio,intake_ohio_parent
oh_p_8,2,Moderately,radio,intake_ohio_parent
oh_p_8,3,Quite a bit,radio,intake_ohio_parent
oh_p_8,4,Somewhat,radio,intake_ohio_parent
oh_p_8,5,A little,radio,intake_ohio_parent
oh_p_8,6,Not at all,radio,intake_ohio_parent
intake_ohio_parent_complete,0,Incomplete,radio,intake_ohio_parent
intake_ohio_parent_complete,1,Unverified,radio,intake_ohio_parent
intake_ohio_parent_complete,2,Complete,radio,intake_ohio_parent
oh_y_measurement,1,Enrollment,radio,intake_ohio_youth
oh_y_measurement,2,Closure,radio,intake_ohio_youth
oh_y_5,1,Extremely satisfied,radio,intake_ohio_youth
oh_y_5,2,Moderately satisfied,radio,intake_ohio_youth
oh_y_5,3,Somewhat satisfied,radio,intake_ohio_youth
oh_y_5,4,Somewhat dissatisfied,radio,intake_ohio_youth
oh_y_5,5,Moderately dissatisfied,radio,intake_ohio_youth
oh_y_5,6,Extremely dissatisfied,radio,intake_ohio_youth
oh_y_6,1,A great deal,radio,intake_ohio_youth
oh_y_6,2,Moderately,radio,intake_ohio_youth
oh_y_6,3,Quite a bit,radio,intake_ohio_youth
oh_y_6,4,Somewhat,radio,intake_ohio_youth
oh_y_6,5,A little,radio,intake_ohio_youth
oh_y_6,6,Not at all,radio,intake_ohio_youth
oh_y_7,1,A great deal,radio,intake_ohio_youth
oh_y_7,2,Moderately,radio,intake_ohio_youth
oh_y_7,3,Quite a bit,radio,intake_ohio_youth
oh_y_7,4,Somewhat,radio,intake_ohio_youth
oh_y_7,5,A little,radio,intake_ohio_youth
oh_y_7,6,Not at all,radio,intake_ohio_youth
oh_y_8,1,A great deal,radio,intake_ohio_youth
oh_y_8,2,Moderately,radio,intake_ohio_youth
oh_y_8,3,Quite a bit,radio,intake_ohio_youth
oh_y_8,4,Somewhat,radio,intake_ohio_youth
oh_y_8,5,A little,radio,intake_ohio_youth
oh_y_8,6,Not at all,radio,intake_ohio_youth
intake_ohio_youth_complete,0,Incomplete,radio,intake_ohio_youth
intake_ohio_youth_complete,1,Unverified,radio,intake_ohio_youth
intake_ohio_youth_complete,2,Complete,radio,intake_ohio_youth
skills_training,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
skills_training,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
skills_training,3,Offered and Declined,radio,closure_stabilization_services_closure_form
skills_training,4,Not Available,radio,closure_stabilization_services_closure_form
skills_training,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
individual_therapy,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
individual_therapy,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
individual_therapy,3,Offered and Declined,radio,closure_stabilization_services_closure_form
individual_therapy,4,Not Available,radio,closure_stabilization_services_closure_form
individual_therapy,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
family_therapy,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
family_therapy,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
family_therapy,3,Offered and Declined,radio,closure_stabilization_services_closure_form
family_therapy,4,Not Available,radio,closure_stabilization_services_closure_form
family_therapy,5,Not Included on Service Pla,radio,closure_stabilization_services_closure_form
med_management,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
med_management,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
med_management,3,Offered and Declined,radio,closure_stabilization_services_closure_form
med_management,4,Not Available,radio,closure_stabilization_services_closure_form
med_management,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
case_management,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
case_management,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
case_management,3,Offered and Declined,radio,closure_stabilization_services_closure_form
case_management,4,Not Available,radio,closure_stabilization_services_closure_form
case_management,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
care_coordination,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
care_coordination,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
care_coordination,3,Offered and Declined,radio,closure_stabilization_services_closure_form
care_coordination,4,Not Available,radio,closure_stabilization_services_closure_form
care_coordination,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
youth_peer,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
youth_peer,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
youth_peer,3,Offered and Declined,radio,closure_stabilization_services_closure_form
youth_peer,4,Not Available,radio,closure_stabilization_services_closure_form
youth_peer,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
family_peer,1,"Yes, Engaged with Service",radio,closure_stabilization_services_closure_form
family_peer,2,"Yes, Limited Engagement",radio,closure_stabilization_services_closure_form
family_peer,3,Offered and Declined,radio,closure_stabilization_services_closure_form
family_peer,4,Not Available,radio,closure_stabilization_services_closure_form
family_peer,5,Not Included on Service Plan,radio,closure_stabilization_services_closure_form
respite,1,"Yes, Frequent Use",radio,closure_stabilization_services_closure_form
respite,2,"Yes, Limited Use",radio,closure_stabilization_services_closure_form
respite,3,Not Used,radio,closure_stabilization_services_closure_form
respite,4,Not Available,radio,closure_stabilization_services_closure_form
crisis_response,1,"Yes, Frequent Use",radio,closure_stabilization_services_closure_form
crisis_response,2,"Yes, Limited Use",radio,closure_stabilization_services_closure_form
crisis_response,3,Not Used,radio,closure_stabilization_services_closure_form
crisis_response,4,Not Available,radio,closure_stabilization_services_closure_form
reason_for_closure___first,1,Connected to Longer-Term Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___first,2,Youth/Family Stable and Not in Need of Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___first,3,Youth Admitted to Inpatient Program,checkbox,closure_stabilization_services_closure_form
reason_for_closure___first,4,Youth/Family Stopped Engaging in Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___first,5,Youth/Family Moved Out of Service Area,checkbox,closure_stabilization_services_closure_form
reason_for_closure___first,6,Other,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,1,Connected to Longer-Term Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,2,Youth/Family Stable and Not in Need of Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,3,Youth Admitted to Inpatient Program,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,4,Youth/Family Stopped Engaging in Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,5,Youth/Family Moved Out of Service Area,checkbox,closure_stabilization_services_closure_form
reason_for_closure___second,6,Other,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,1,Connected to Longer-Term Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,2,Youth/Family Stable and Not in Need of Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,3,Youth Admitted to Inpatient Program,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,4,Youth/Family Stopped Engaging in Services,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,5,Youth/Family Moved Out of Service Area,checkbox,closure_stabilization_services_closure_form
reason_for_closure___third,6,Other,checkbox,closure_stabilization_services_closure_form
program_attempt,1,Yes,radio,closure_stabilization_services_closure_form
program_attempt,0,No,radio,closure_stabilization_services_closure_form
program_attempt,2,Unknown,radio,closure_stabilization_services_closure_form
program_admission___first,1,Crisis Center/Walk-In Clinic,checkbox,closure_stabilization_services_closure_form
program_admission___first,2,Emergency Department,checkbox,closure_stabilization_services_closure_form
program_admission___first,3,Psychiatric Inpatient,checkbox,closure_stabilization_services_closure_form
program_admission___first,5,None,checkbox,closure_stabilization_services_closure_form
program_admission___first,4,Unknown,checkbox,closure_stabilization_services_closure_form
program_admission___second,1,Crisis Center/Walk-In Clinic,checkbox,closure_stabilization_services_closure_form
program_admission___second,2,Emergency Department,checkbox,closure_stabilization_services_closure_form
program_admission___second,3,Psychiatric Inpatient,checkbox,closure_stabilization_services_closure_form
program_admission___second,5,None,checkbox,closure_stabilization_services_closure_form
program_admission___second,4,Unknown,checkbox,closure_stabilization_services_closure_form
program_admission___third,1,Crisis Center/Walk-In Clinic,checkbox,closure_stabilization_services_closure_form
program_admission___third,2,Emergency Department,checkbox,closure_stabilization_services_closure_form
program_admission___third,3,Psychiatric Inpatient,checkbox,closure_stabilization_services_closure_form
program_admission___third,5,None,checkbox,closure_stabilization_services_closure_form
program_admission___third,4,Unknown,checkbox,closure_stabilization_services_closure_form
program_connection,1,"Yes, Follow-Up Services Have Started",radio,closure_stabilization_services_closure_form
program_connection,2,"Yes, Follow-Up Services Pending",radio,closure_stabilization_services_closure_form
program_connection,0,No,radio,closure_stabilization_services_closure_form
barriers___first,1,Limited Access to Appropriate Provider(s),checkbox,closure_stabilization_services_closure_form
barriers___first,2,Insurance/Coverage Barriers,checkbox,closure_stabilization_services_closure_form
barriers___first,3,Diagnosis/Behaviors Preventing Acceptance ,checkbox,closure_stabilization_services_closure_form
barriers___first,4,Youth/Family Unable to Engage,checkbox,closure_stabilization_services_closure_form
barriers___first,5,Youth/Family Declined,checkbox,closure_stabilization_services_closure_form
barriers___first,6,Family Did Not Specify,checkbox,closure_stabilization_services_closure_form
barriers___first,7,Not Listed,checkbox,closure_stabilization_services_closure_form
barriers___second,1,Limited Access to Appropriate Provider(s),checkbox,closure_stabilization_services_closure_form
barriers___second,2,Insurance/Coverage Barriers,checkbox,closure_stabilization_services_closure_form
barriers___second,3,Diagnosis/Behaviors Preventing Acceptance ,checkbox,closure_stabilization_services_closure_form
barriers___second,4,Youth/Family Unable to Engage,checkbox,closure_stabilization_services_closure_form
barriers___second,5,Youth/Family Declined,checkbox,closure_stabilization_services_closure_form
barriers___second,6,Family Did Not Specify,checkbox,closure_stabilization_services_closure_form
barriers___second,7,Not Listed,checkbox,closure_stabilization_services_closure_form
barriers___third,1,Limited Access to Appropriate Provider(s),checkbox,closure_stabilization_services_closure_form
barriers___third,2,Insurance/Coverage Barriers,checkbox,closure_stabilization_services_closure_form
barriers___third,3,Diagnosis/Behaviors Preventing Acceptance ,checkbox,closure_stabilization_services_closure_form
barriers___third,4,Youth/Family Unable to Engage,checkbox,closure_stabilization_services_closure_form
barriers___third,5,Youth/Family Declined,checkbox,closure_stabilization_services_closure_form
barriers___third,6,Family Did Not Specify,checkbox,closure_stabilization_services_closure_form
barriers___third,7,Not Listed,checkbox,closure_stabilization_services_closure_form
closure_stabilization_services_closure_form_complete,0,Incomplete,radio,closure_stabilization_services_closure_form
closure_stabilization_services_closure_form_complete,1,Unverified,radio,closure_stabilization_services_closure_form
closure_stabilization_services_closure_form_complete,2,Complete,radio,closure_stabilization_services_closure_form
oh_c_measurement_clos,1,Enrollment,radio,closure_ohio_clinician
oh_c_measurement_clos,2,Closure,radio,closure_ohio_clinician
closure_ohio_clinician_complete,0,Incomplete,radio,closure_ohio_clinician
closure_ohio_clinician_complete,1,Unverified,radio,closure_ohio_clinician
closure_ohio_clinician_complete,2,Complete,radio,closure_ohio_clinician
oh_p_respondent_clos,1,Mother,radio,closure_ohio_parent
oh_p_respondent_clos,2,Father,radio,closure_ohio_parent
oh_p_respondent_clos,3,Step-mother,radio,closure_ohio_parent
oh_p_respondent_clos,4,Step-father,radio,closure_ohio_parent
oh_p_respondent_clos,5,Grandparent,radio,closure_ohio_parent
oh_p_respondent_clos,6,Foster parent,radio,closure_ohio_parent
oh_p_respondent_clos,7,Other guardian {oh_p_respondent_other_clos},radio,closure_ohio_parent
oh_p_measurement_clos,1,Enrollment,radio,closure_ohio_parent
oh_p_measurement_clos,2,Closure,radio,closure_ohio_parent
oh_p_5_clos,1,Extremely satisfied,radio,closure_ohio_parent
oh_p_5_clos,2,Moderately satisfied,radio,closure_ohio_parent
oh_p_5_clos,3,Somewhat satisfied,radio,closure_ohio_parent
oh_p_5_clos,4,Somewhat dissatisfied,radio,closure_ohio_parent
oh_p_5_clos,5,Moderately dissatisfied,radio,closure_ohio_parent
oh_p_5_clos,6,Extremely dissatisfied,radio,closure_ohio_parent
oh_p_6_clos,1,A great deal,radio,closure_ohio_parent
oh_p_6_clos,2,Moderately,radio,closure_ohio_parent
oh_p_6_clos,3,Quite a bit,radio,closure_ohio_parent
oh_p_6_clos,4,Somewhat,radio,closure_ohio_parent
oh_p_6_clos,5,A little,radio,closure_ohio_parent
oh_p_6_clos,6,Not at all,radio,closure_ohio_parent
oh_p_7_clos,1,A great deal,radio,closure_ohio_parent
oh_p_7_clos,2,Moderately,radio,closure_ohio_parent
oh_p_7_clos,3,Quite a bit,radio,closure_ohio_parent
oh_p_7_clos,4,Somewhat,radio,closure_ohio_parent
oh_p_7_clos,5,A little,radio,closure_ohio_parent
oh_p_7_clos,6,Not at all,radio,closure_ohio_parent
oh_p_8_clos,1,A great deal,radio,closure_ohio_parent
oh_p_8_clos,2,Moderately,radio,closure_ohio_parent
oh_p_8_clos,3,Quite a bit,radio,closure_ohio_parent
oh_p_8_clos,4,Somewhat,radio,closure_ohio_parent
oh_p_8_clos,5,A little,radio,closure_ohio_parent
oh_p_8_clos,6,Not at all,radio,closure_ohio_parent
closure_ohio_parent_complete,0,Incomplete,radio,closure_ohio_parent
closure_ohio_parent_complete,1,Unverified,radio,closure_ohio_parent
closure_ohio_parent_complete,2,Complete,radio,closure_ohio_parent
oh_y_measurement_clos,1,Enrollment,radio,closure_ohio_youth
oh_y_measurement_clos,2,Closure,radio,closure_ohio_youth
oh_y_5_clos,1,Extremely satisfied,radio,closure_ohio_youth
oh_y_5_clos,2,Moderately satisfied,radio,closure_ohio_youth
oh_y_5_clos,3,Somewhat satisfied,radio,closure_ohio_youth
oh_y_5_clos,4,Somewhat dissatisfied,radio,closure_ohio_youth
oh_y_5_clos,5,Moderately dissatisfied,radio,closure_ohio_youth
oh_y_5_clos,6,Extremely dissatisfied,radio,closure_ohio_youth
oh_y_6_clos,1,A great deal,radio,closure_ohio_youth
oh_y_6_clos,2,Moderately,radio,closure_ohio_youth
oh_y_6_clos,3,Quite a bit,radio,closure_ohio_youth
oh_y_6_clos,4,Somewhat,radio,closure_ohio_youth
oh_y_6_clos,5,A little,radio,closure_ohio_youth
oh_y_6_clos,6,Not at all,radio,closure_ohio_youth
oh_y_7_clos,1,A great deal,radio,closure_ohio_youth
oh_y_7_clos,2,Moderately,radio,closure_ohio_youth
oh_y_7_clos,3,Quite a bit,radio,closure_ohio_youth
oh_y_7_clos,4,Somewhat,radio,closure_ohio_youth
oh_y_7_clos,5,A little,radio,closure_ohio_youth
oh_y_7_clos,6,Not at all,radio,closure_ohio_youth
oh_y_8_clos,1,A great deal,radio,closure_ohio_youth
oh_y_8_clos,2,Moderately,radio,closure_ohio_youth
oh_y_8_clos,3,Quite a bit,radio,closure_ohio_youth
oh_y_8_clos,4,Somewhat,radio,closure_ohio_youth
oh_y_8_clos,5,A little,radio,closure_ohio_youth
oh_y_8_clos,6,Not at all,radio,closure_ohio_youth
closure_ohio_youth_complete,0,Incomplete,radio,closure_ohio_youth
closure_ohio_youth_complete,1,Unverified,radio,closure_ohio_youth
closure_ohio_youth_complete,2,Complete,radio,closure_ohio_youth
